eft_id,description,normalized_description,company_id,company_name,alias,candidate_source,candidate_filter_score,fuzzy_score,vector_score,acronym_score,rule_score,final_score,risk_level,reason
22377,AEPS GST INC DT 05-07-201,aeps gst incorporated dt 05 07 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4602,0.0,0.0,0.5656,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
21465,AEPS GST INC DT 05-07-201,aeps gst incorporated dt 05 07 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4602,0.0,0.0,0.5656,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26022,AEPS INC DT 12-11-2018 RO,aeps incorporated dt 12 11 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4599,0.0,0.0,0.5655,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
21437,AEPS GST INC DT 03-05-201,aeps gst incorporated dt 03 05 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4602,0.0,0.0,0.5655,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26060,AEPS INC DT 12-14-2018 RO,aeps incorporated dt 12 14 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.46,0.0,0.0,0.5655,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26240,AEPS INC DT 12-30-2018 RO,aeps incorporated dt 12 30 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4587,0.0,0.0,0.5651,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26034,AEPS INC DT 12-12-2018 RO,aeps incorporated dt 12 12 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4582,0.0,0.0,0.565,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
21911,AEPS GST INC DT 05-06-201,aeps gst incorporated dt 05 06 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4582,0.0,0.0,0.565,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26046,AEPS INC DT 12-13-2018 RO,aeps incorporated dt 12 13 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4577,0.0,0.0,0.5648,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26324,AEPS GST INC DT 05-01-201,aeps gst incorporated dt 05 01 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4573,0.0,0.0,0.5647,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
21868,AEPS GST INC DT 31-05-201,aeps gst incorporated dt 31 05 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4571,0.0,0.0,0.5646,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
25950,AEPS GST INC DT 05-12-201,aeps gst incorporated dt 05 12 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.456,0.0,0.0,0.5643,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
21471,AEPS GST INC DT 08-05-201,aeps gst incorporated dt 08 05 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4558,0.0,0.0,0.5642,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
21814,AEPS GST INC DT 25-05-201,aeps gst incorporated dt 25 05 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4557,0.0,0.0,0.5642,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26204,AEPS INC DT 27-12-2018 RO,aeps incorporated dt 27 12 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.455,0.0,0.0,0.564,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
21457,AEPS GST INC DT 06-05-201,aeps gst incorporated dt 06 05 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4547,0.0,0.0,0.5639,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26219,AEPS INC DT 28-12-2018 RO,aeps incorporated dt 28 12 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4547,0.0,0.0,0.5639,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
21554,AEPS GST INC DT 12-05-201,aeps gst incorporated dt 12 05 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4547,0.0,0.0,0.5639,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
21630,AEPS GST INC DT 17-05-201,aeps gst incorporated dt 17 05 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4546,0.0,0.0,0.5639,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26008,AEPS INC DT 12-10-2018 RO,aeps incorporated dt 12 10 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4544,0.0,0.0,0.5638,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26131,AEPS INC DT 20-12-2018 RO,aeps incorporated dt 20 12 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.454,0.0,0.0,0.5637,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
21556,AEPS GST INC DT 13-05-201,aeps gst incorporated dt 13 05 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4538,0.0,0.0,0.5637,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
23414,AEPS GST INC DT 15-08-201,aeps gst incorporated dt 15 08 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4541,0.0,0.0,0.5637,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26189,AEPS INC DT 26-12-2018 RO,aeps incorporated dt 26 12 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4537,0.0,0.0,0.5636,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
21433,AEPS GST INC DT 01-05-201,aeps gst incorporated dt 01 05 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4536,0.0,0.0,0.5636,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
